benchmarkName time maxStates maxTransitions
cm_1_1_10_dp_x-po-3.dft N/A N/A N/A
cm_1_1_10_sp_x-po-3.dft 0 15 20
cm_1_1_11_dp_x-po-3.dft 0 15 20
cm_1_1_11_sp_x-po-3.dft 0 15 20
cm_1_1_12_dp_x-po-3.dft 0 15 20
cm_1_1_12_sp_x-po-3.dft 0 15 20
cm_1_1_13_sp_x-po-3.dft 0 15 20
cm_1_1_14_sp_x-po-3.dft N/A N/A N/A
cm_1_1_2_dp_x-po-3.dft 453 6808 17849
cm_1_1_2_sp_x-po-3.dft 204 3282 8466
cm_1_1_3_dp_x-po-3.dft N/A N/A N/A
cm_1_1_3_sp_x-po-3.dft 0 15 20
cm_1_1_4_dp_x-po-3.dft 0 15 20
cm_1_1_4_sp_x-po-3.dft N/A N/A N/A
cm_1_1_5_dp_x-po-3.dft 0 15 20
cm_1_1_5_sp_x-po-3.dft N/A N/A N/A
cm_1_1_6_dp_x-po-3.dft 0 15 20
cm_1_1_6_sp_x-po-3.dft 0 15 20
cm_1_1_7_dp_x-po-3.dft N/A N/A N/A
cm_1_1_7_sp_x-po-3.dft 0 15 20
cm_1_1_8_dp_x-po-3.dft 16 15 20
cm_1_1_8_sp_x-po-3.dft 0 15 20
cm_1_1_9_dp_x-po-3.dft 0 15 20
cm_1_1_9_sp_x-po-3.dft 0 15 20
cm_2_1_2_dp_x-po-3.dft N/A N/A N/A
cm_2_1_2_sp_x-po-3.dft N/A N/A N/A
cm_2_1_3_dp_x-po-3.dft N/A N/A N/A
cm_2_1_3_sp_x-po-3.dft N/A N/A N/A
cm_2_1_4_dp_x-po-3.dft N/A N/A N/A
cm_2_1_4_sp_x-po-3.dft N/A N/A N/A
cm_2_2_2_dp_x-po-3.dft N/A N/A N/A
cm_2_2_2_sp_x-po-3.dft N/A N/A N/A
cm_2_2_3_dp_x-po-3.dft N/A N/A N/A
cm_2_2_3_sp_x-po-3.dft N/A N/A N/A
cm_2_2_4_dp_x-po-3.dft N/A N/A N/A
cm_2_2_4_sp_x-po-3.dft N/A N/A N/A
cm_3_1_2_dp_x-po-3.dft N/A N/A N/A
cm_3_1_2_sp_x-po-3.dft N/A N/A N/A
cm_3_1_3_dp_x-po-3.dft N/A N/A N/A
cm_3_1_3_sp_x-po-3.dft N/A N/A N/A
cm_3_1_4_dp_x-po-3.dft N/A N/A N/A
cm_3_1_4_sp_x-po-3.dft N/A N/A N/A
cm_3_2_2_dp_x-po-3.dft N/A N/A N/A
cm_3_2_2_sp_x-po-3.dft N/A N/A N/A
cm_3_2_3_dp_x-po-3.dft N/A N/A N/A
cm_3_2_3_sp_x-po-3.dft N/A N/A N/A
cm_3_2_4_dp_x-po-3.dft N/A N/A N/A
cm_3_2_4_sp_x-po-3.dft N/A N/A N/A
cm_3_3_2_dp_x-po-3.dft N/A N/A N/A
cm_3_3_2_sp_x-po-3.dft N/A N/A N/A
cm_3_3_3_dp_x-po-3.dft N/A N/A N/A
cm_3_3_3_sp_x-po-3.dft N/A N/A N/A
cm_3_3_4_dp_x-po-3.dft N/A N/A N/A
cm_3_3_4_sp_x-po-3.dft N/A N/A N/A
