benchmarkName time maxStates maxTransitions
rc.1-1-hc-repair-po-5.dft 0 48 113
rc.1-1-sc-repair-po-5.dft 0 16 30
rc.1-10-hc-repair-po-5.dft 3 48 113
rc.1-10-sc-repair-po-5.dft 1 16 30
rc.1-15-hc-repair-po-5.dft 5 48 113
rc.1-15-sc-repair-po-5.dft 3 16 30
rc.1-2-hc-repair-po-5.dft 0 48 113
rc.1-2-sc-repair-po-5.dft 0 16 30
rc.1-20-hc-repair-po-5.dft 6 48 113
rc.1-20-sc-repair-po-5.dft 4 16 30
rc.1-25-hc-repair-po-5.dft 2 48 113
rc.1-25-sc-repair-po-5.dft 3 16 30
rc.1-3-hc-repair-po-5.dft 1 48 113
rc.1-3-sc-repair-po-5.dft 1 16 30
rc.1-30-hc-repair-po-5.dft 9 48 113
rc.1-30-sc-repair-po-5.dft 5 16 30
rc.1-4-hc-repair-po-5.dft 1 48 113
rc.1-4-sc-repair-po-5.dft 0 16 30
rc.1-5-hc-repair-po-5.dft 2 48 113
rc.1-5-sc-repair-po-5.dft 1 16 30
rc.10-1-hc-repair-po-5.dft 1 48 113
rc.10-1-sc-repair-po-5.dft 0 16 30
rc.10-10-hc-repair-po-5.dft 2 48 113
rc.10-10-sc-repair-po-5.dft 1 16 30
rc.15-1-hc-repair-po-5.dft 0 48 113
rc.15-1-sc-repair-po-5.dft 0 16 30
rc.15-15-hc-repair-po-5.dft 2 48 113
rc.15-15-sc-repair-po-5.dft 2 16 30
rc.2-1-hc-repair-po-5.dft 0 48 113
rc.2-1-sc-repair-po-5.dft 0 16 30
rc.2-2-hc-repair-po-5.dft 0 48 113
rc.2-2-sc-repair-po-5.dft 0 16 30
rc.2-3-hc-repair-po-5.dft 2 48 113
rc.2-3-sc-repair-po-5.dft 1 16 30
rc.2-4-hc-repair-po-5.dft 1 48 113
rc.2-4-sc-repair-po-5.dft 1 16 30
rc.20-1-hc-repair-po-5.dft 0 48 113
rc.20-1-sc-repair-po-5.dft 0 16 30
rc.20-20-hc-repair-po-5.dft 0 48 113
rc.20-20-sc-repair-po-5.dft 3 16 30
rc.25-1-hc-repair-po-5.dft 2 48 113
rc.25-1-sc-repair-po-5.dft 0 16 30
rc.25-25-hc-repair-po-5.dft 6 48 113
rc.25-25-sc-repair-po-5.dft 5 16 30
rc.3-1-hc-repair-po-5.dft 1 48 113
rc.3-1-sc-repair-po-5.dft 0 16 30
rc.3-2-hc-repair-po-5.dft 0 48 113
rc.3-2-sc-repair-po-5.dft 1 16 30
rc.3-3-hc-repair-po-5.dft 1 48 113
rc.3-3-sc-repair-po-5.dft 1 16 30
rc.3-4-hc-repair-po-5.dft 2 48 113
rc.3-4-sc-repair-po-5.dft 3 16 30
rc.30-1-hc-repair-po-5.dft 0 48 113
rc.30-1-sc-repair-po-5.dft 1 16 30
rc.30-30-hc-repair-po-5.dft 6 48 113
rc.30-30-sc-repair-po-5.dft 3 16 30
rc.4-1-hc-repair-po-5.dft 1 48 113
rc.4-1-sc-repair-po-5.dft 0 16 30
rc.4-2-hc-repair-po-5.dft 1 48 113
rc.4-2-sc-repair-po-5.dft 0 16 30
rc.4-3-hc-repair-po-5.dft 1 48 113
rc.4-3-sc-repair-po-5.dft 1 16 30
rc.4-4-hc-repair-po-5.dft 1 48 113
rc.4-4-sc-repair-po-5.dft 0 16 30
rc.5-1-hc-repair-po-5.dft 0 48 113
rc.5-1-sc-repair-po-5.dft 1 16 30
rc.5-5-hc-repair-po-5.dft 1 48 113
rc.5-5-sc-repair-po-5.dft 2 16 30
