benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
rc.1-1-hc-repair-po-4.dft 16 0 2 0 0 0 0
rc.1-1-sc-repair-po-4.dft 13 0 0 0 0 0 0
rc.1-10-hc-repair-po-4.dft 64 0 2 0 0 0 0
rc.1-10-sc-repair-po-4.dft 38 0 0 0 0 0 0
rc.1-15-hc-repair-po-4.dft 77 0 2 0 0 0 0
rc.1-15-sc-repair-po-4.dft 59 0 0 0 0 0 0
rc.1-2-hc-repair-po-4.dft 19 0 2 0 0 0 0
rc.1-2-sc-repair-po-4.dft 8 0 0 0 0 0 0
rc.1-20-hc-repair-po-4.dft 101 0 2 0 0 0 0
rc.1-20-sc-repair-po-4.dft 78 0 0 0 0 0 0
rc.1-25-hc-repair-po-4.dft 108 0 2 0 0 0 0
rc.1-25-sc-repair-po-4.dft 98 0 0 0 0 0 0
rc.1-3-hc-repair-po-4.dft 24 0 2 0 0 0 0
rc.1-3-sc-repair-po-4.dft 12 0 0 0 0 0 0
rc.1-30-hc-repair-po-4.dft 132 0 2 0 0 0 0
rc.1-30-sc-repair-po-4.dft 115 0 0 0 0 0 0
rc.1-4-hc-repair-po-4.dft 29 0 2 0 0 0 0
rc.1-4-sc-repair-po-4.dft 16 0 0 0 0 0 0
rc.1-5-hc-repair-po-4.dft 33 0 2 0 0 0 0
rc.1-5-sc-repair-po-4.dft 20 0 0 0 0 0 0
rc.10-1-hc-repair-po-4.dft 16 0 2 0 0 0 0
rc.10-1-sc-repair-po-4.dft 4 0 0 0 0 0 0
rc.10-10-hc-repair-po-4.dft 51 0 2 0 0 0 0
rc.10-10-sc-repair-po-4.dft 41 0 0 0 0 0 0
rc.15-1-hc-repair-po-4.dft 16 0 2 0 0 0 0
rc.15-1-sc-repair-po-4.dft 4 0 0 0 0 0 0
rc.15-15-hc-repair-po-4.dft 70 0 2 0 0 0 0
rc.15-15-sc-repair-po-4.dft 55 0 0 0 0 0 0
rc.2-1-hc-repair-po-4.dft 15 0 2 0 0 0 0
rc.2-1-sc-repair-po-4.dft 4 0 0 0 0 0 0
rc.2-2-hc-repair-po-4.dft 20 0 2 0 0 0 0
rc.2-2-sc-repair-po-4.dft 8 0 0 0 0 0 0
rc.2-3-hc-repair-po-4.dft 23 0 2 0 0 0 0
rc.2-3-sc-repair-po-4.dft 11 0 0 0 0 0 0
rc.2-4-hc-repair-po-4.dft 28 0 2 0 0 0 0
rc.2-4-sc-repair-po-4.dft 16 0 0 0 0 0 0
rc.20-1-hc-repair-po-4.dft 16 0 2 0 0 0 0
rc.20-1-sc-repair-po-4.dft 4 0 0 0 0 0 0
rc.20-20-hc-repair-po-4.dft 96 0 2 0 0 0 0
rc.20-20-sc-repair-po-4.dft 80 0 0 0 0 0 0
rc.25-1-hc-repair-po-4.dft 16 0 2 0 0 0 0
rc.25-1-sc-repair-po-4.dft 3 0 0 0 0 0 0
rc.25-25-hc-repair-po-4.dft 109 0 2 0 0 0 0
rc.25-25-sc-repair-po-4.dft 97 0 0 0 0 0 0
rc.3-1-hc-repair-po-4.dft 18 0 2 0 0 0 0
rc.3-1-sc-repair-po-4.dft 4 0 0 0 0 0 0
rc.3-2-hc-repair-po-4.dft 19 0 2 0 0 0 0
rc.3-2-sc-repair-po-4.dft 8 0 0 0 0 0 0
rc.3-3-hc-repair-po-4.dft 23 0 2 0 0 0 0
rc.3-3-sc-repair-po-4.dft 12 0 0 0 0 0 0
rc.3-4-hc-repair-po-4.dft 28 0 2 0 0 0 0
rc.3-4-sc-repair-po-4.dft 16 0 0 0 0 0 0
rc.30-1-hc-repair-po-4.dft 16 0 2 0 0 0 0
rc.30-1-sc-repair-po-4.dft 4 0 0 0 0 0 0
rc.30-30-hc-repair-po-4.dft 132 0 2 0 0 0 0
rc.30-30-sc-repair-po-4.dft 122 0 0 0 0 0 0
rc.4-1-hc-repair-po-4.dft 16 0 2 0 0 0 0
rc.4-1-sc-repair-po-4.dft 4 0 0 0 0 0 0
rc.4-2-hc-repair-po-4.dft 19 0 2 0 0 0 0
rc.4-2-sc-repair-po-4.dft 8 0 0 0 0 0 0
rc.4-3-hc-repair-po-4.dft 24 0 2 0 0 0 0
rc.4-3-sc-repair-po-4.dft 26 0 0 0 0 0 0
rc.4-4-hc-repair-po-4.dft 26 0 2 0 0 0 0
rc.4-4-sc-repair-po-4.dft 15 0 0 0 0 0 0
rc.5-1-hc-repair-po-4.dft 16 0 2 0 0 0 0
rc.5-1-sc-repair-po-4.dft 4 0 0 0 0 0 0
rc.5-5-hc-repair-po-4.dft 34 0 2 0 0 0 0
rc.5-5-sc-repair-po-4.dft 19 0 0 0 0 0 0
